"primaryName","primaryName_fr","description","description_fr","classification"
"Repair Shop - Household Electronics/Appliances","Atelier de réparation – Électronique grand public et électroménagers","As a household electronics/appliances repair shop, I repair appliances such as toasters, dishwashers, washing machines, clothes dryers, vacuums, stoves and microwaves.","À mon atelier de réparation d’électronique grand public et d’électroménagers, je répare des appareils comme des grille-pains, des lave-vaisselle, des sécheuses, des balayeuses, des cuisinières et des fours à micro-ondes.",NULL
"Appraisers (No Auto Appraisers)","Évaluateurs (sauf d’automobiles)","As an appraiser, I do an on-site inspection to determine the current value of a real estate property for the potential buyer.","En tant qu’évaluateur, je fais des inspections sur place pour déterminer la valeur actuelle de propriétés pour des acheteurs potentiels.",NULL
"Psychologist","Psychologues","As a psychologist, I am registered and regulated by the College of Psychologists in the province/ territory I operate in and am a professional trained in the assessment, diagnosis, and treatment of mental health issues.  ","En tant que psychologue, je suis inscrit(e) auprès de l’organisme qui réglemente ma profession dans la province où j’exerce mes activités; je suis un(e) professionnel(le) formé(e) dans l’évaluation, le diagnostic et le traitement des problèmes de santé mentale.",NULL
"Stock Broker/Dealer / Security Broker/Dealer","Courtier ou négociant en valeurs mobilières","As a stock broker/dealer, I am an agent or firm that charges a fee or commission for executing buy and sell orders submitted by an investor. As a securities broker/dealer,  I advise customers who want to make financial investments. I arrange for the purchase or sale of stocks, bonds and other securities on my customer's behalf.","En tant que courtier ou négociant en valeurs mobilières, je suis un agent ou je possède un cabinet qui facture des frais fixes ou perçoit des commissions pour l’exécution d’ordres d’achat ou de vente transmis par des investisseurs. En tant que courtier ou négociant en valeurs mobilières, je conseille des clients qui veulent faire des placements. J’organise l’achat ou la vente d’actions, d’obligations et d’autres types de valeurs mobilières au nom de mes clients.",NULL
"Candy Maker","Confiseur","As a small batch candy maker, my business makes candy at home or using a small commercial kitchen, typically selling products directly to local customers.","En tant que fabricant de bonbons en petites quantités, je fabrique des bonbons à domicile ou dans une petite cuisine commerciale, et je vends généralement mes produits directement aux clients locaux.","CONTRACTING"
"Yoga Instructors","Instructeur de yoga","As a yoga instructor, I show and instruct my students how to do yoga poses and help adjust or correct their poses. ","En tant qu’instructeur de yoga, j’apprends à mes élèves différentes postures de yoga, en leur indiquant les ajustements et les corrections à apporter.",NULL
"Renovation Contractor - Residential (Singles/Semis/Townhouses)","Rénovation résidentielle (maisons individuelles, jumelées ou en rangée)","As a residential renovation contractor, I am a home improvement professional who organizes and executes remodeling projects.","En tant qu’entrepreneur en rénovation résidentielle, j’organise et j’exécute des projets de rénovation domiciliaire.","CONTRACTING"
"Locksmith","Serruriers","As a locksmith, I install, repair and adjust locks in everything from cars to office buildings.","En tant que serrurier, j’installe, je répare et j’ajuste des serrures à de nombreux emplacements, des autos aux édifices de bureaux.",NULL
"Blankets / Quilts / Towels Manufacturing (No Infant Products)","Couvertures, édredons, serviettes (produits pour bébés exclus) – Fabrication","As a blanket/quilt/towel manufacturer, I make towels, linens, wash cloths, mats, blankets and quilts and distribute them. I do not make any products for infants.","En tant que fabricant de couvertures, d’édredons et de serviettes, je crée et distribue des serviettes, de la literie, des débarbouillettes, des tapis de bain, des couvertures et des édredons. Je ne fabrique pas de produits pour bébés.",NULL
"Construction - Residential New (Singles / Semis)","Construction résidentielle – Maisons individuelles ou jumelées","As a construction contractor, I build single and semi-detached homes for my customers.","En tant qu’entrepreneur en construction, je construis des maisons individuelles et des maisons jumelées pour mes clients.","CONTRACTING"
"Insurance Inspection Services","Services d’inspection aux fins d’assurance","As an insurance inspection service provider, I do an on-site inspection on behalf of an insurance company to closely examine buildings or facilities and assess/identify potential hazards. I may also provide inspection services in support of claim reviews and settlement.","En tant que fournisseur de services d’inspection aux fins d’assurance, j’effectue des inspections sur place au nom d’assureurs. J’examine attentivement les bâtiments et les installations pour évaluer et identifier les risques. Je peux aussi fournir des services d’inspection liés au processus d’examen et de règlement de sinistres.",NULL
"Renovation - Residential (Apartments/Condos)","Rénovation résidentielle (appartements, condominiums)","As a residential renovation contractor, I am an apartment/condominium home improvement professional who organizes and executes remodeling projects.","En tant qu’entrepreneur en rénovation résidentielle, j’organise et j’exécute des projets de réaménagement domiciliaire dans des logements et des copropriétés.","CONTRACTING"
"Baked Goods / Pasta Manufacturing","Produits de boulangerie et pâtes – Production","As a baked goods/pasta manufacturer, I mix a variety of ingredients to make products such as cookies, pies, brownies, pastries, cupcakes and various types of pasta, which are then packaged and sold.","En tant que fabricant de produits de boulangerie et de pâtes, je mélange différents ingrédients pour créer des produits comme des biscuits, des tartes, des brownies, des pâtisseries, des petits gâteaux et divers types de pâtes, qui sont ensuite emballés et vendus.",NULL
"Hearing Aid Services","Services de prothèses auditives, audiologistes","As an audiologist, I engage in the non-medical evaluation and rehabilitation of persons with disorders of auditory, balance and other neural systems that deal with speech and language.","En tant qu’audiologiste, je travaille à l’évaluation non médicale et à la réadaptation des personnes ayant des problèmes auditifs, d’équilibre ou touchant d’autres systèmes neurologiques associés à la parole et au langage.",NULL
"Wholesale Cameras / Opticals Products (including Accessories)","Appareils photo et instruments d’optique (accessoires inclus) – Commerce de gros","As a camera/optical product wholesaler, I sell cameras, lenses, flashes and other photographic devices and accessories, typically to retail stores.","En tant que grossiste d’appareils photo et d’instruments d’optique, je vends des appareils photo, des objectifs, des flashs ainsi que d’autres instruments et accessoires utiles en photographie, généralement à des magasins de détail.",NULL
"Veterinarians (Including Veterinary Hospitals)","Vétérinaires (y compris hôpitaux vétérinaires)","As a veterinary hospital, we protect the health and well-being and treat injuries and illnesses of domestic pets using a variety of medical equipment.","En tant qu’hôpital vétérinaire, nous protégeons la santé et le bien-être d’animaux domestiques et nous soignons leurs blessures et leurs maladies à l’aide de divers équipements médicaux.","PROFESSIONAL_SERVICES"
"Heating / Air Conditioning Equipment Installation / Service - Residential","Chauffage et climatisation – Installation et entretien de matériel (résidentiel)","As a heating/air conditioning contractor, I install, maintain or repair the climate control systems in your home so heated or cooled filtered air can circulate and keep the inhabitants of your home comfortable.","En tant qu’entrepreneur en chauffage et climatisation, j’installe, j’entretiens et je répare des systèmes de contrôle de la température qui font circuler de l’air chauffé ou refroidi dans des habitations pour le confort des occupants.","CONTRACTING"
"Mailing & Addressing Operations (no delivery / courier)","Services d’expédition et d’adressage (livraison/messagerie exclue)","As a mailing & addressing company, I provide printing, mailing and postage soloutions to business organizations, educational institutions, start up companies or anybody who has a lot of mail to send.","En tant que fournisseur de services d’expédition et d’adressage, j’offre des services d’impression, d’expédition et d’envoi par la poste à des entreprises établies ou en démarrage, à des établissements scolaires ou à toute personne qui a beaucoup de courrier à envoyer.",NULL
"Luggage / Gifts, Arts & Crafts / Religious Products / Decorative & Ornament / Hobby & Handicraft Shop (incl Artists Supplies)  - Retail","Valises, articles de cadeaux, matériel pour artisanat et loisirs, produits religieux, articles décoratifs et ornements (matériel d’artiste inclus) – Commerce de détail","As a luggage/gifts, arts & crafts/religious products/decorative & ornament/hobby & handicraft shop retailer, I sell a variety of items, including artist supplies in store or at a flea market or online.","En tant que grossiste de valises, d’artisanat, d’articles religieux ou décoratifs, d’ornements et de matériel pour artisanat ou loisirs, je vends divers articles, y compris du matériel d’artiste, en magasin, dans des marchés aux puces ou en ligne.","RETAIL"
"Communication Equipment Installation - Residential","Installation d’équipement de communication (résidentiel)","As a communication equipment installer, I set up and maintain devices that carry communications signals, such as internet, phone, TV and satellite for residential homes.","En tant qu’installateur d’équipement de communication, j’installe et j’entretiens du matériel de réception ou d’émission de signaux de communication, comme de l’équipement pour l’Internet, des téléphones, des téléviseurs et des récepteurs satellites, dans des habitations.","CONTRACTING"
"Landscaping (Including Pesticide/Herbicide Use)","Aménagement paysager (avec utilisation de pesticides/herbicides)","As a landscaper, I maintain outdoor areas, including raking and mowing the grass, planting and trimming bushes and flowers, mulching and weeding the landscape beds, and creating/maintaining outdoor sceneries such as gazebos and fountains.  I will also sometimes apply pesticides and/or herbicides as part of this maintenance. ","En tant que paysagiste, j’entretiens des lieux extérieurs. Cela comprend râteler et tondre des pelouses, planter et tailler des arbustes et des fleurs, pailler et ensemencer le sol ainsi qu’installer et entretenir des structures ou des objets extérieurs, comme des belvédères et des fontaines. Il m’arrive également d’épandre des pesticides ou des herbicides.","CONTRACTING"
"Footwear Manufacturing","Chaussures et bottes – Fabrication","As a footwear manufacturer, I make shoes, boots, sandals, sneakers, dresses, slippers, heels, wedges and flip flops.","En tant que fabricant de chaussures et de bottes, je fabrique des chaussures, des bottes, des sandales, des chaussures de sport, des chaussures habillées, des pantoufles, des chaussures à talon, des chaussures à talon compensé et des sandales de plage.",NULL
"Musical Instruments (Sales/Repairs) - Retail","Instruments de musique (vente et réparation) – Commerce de détail","As a musical instrument retailer, I sell and repair musical instruments.","En tant que détaillant d’instruments de musique, je vends et je répare des instruments de musique.","RETAIL"
"Fire Extinguishing Equipment Installation / Servicing (No automatic systems)","Extincteurs d’incendie (non automatiques) – Installation, entretien et rechargement","As a fire extinguishing equipment contractor, I install and service fire extinguishing equipment. I do not do any work on automatic fire extinguishing systems.","En tant qu’entrepreneur en extincteurs d’incendie, j’installe et j’entretiens des extincteurs d’incendie. Je n’effectue aucun travail lié à des systèmes automatiques de suppression d’incendie.","CONTRACTING"
"Swimming Pools - Installation / Repair","Piscines – Installation et réparation","As a swimming pool installation and repair operation, I install and repair backyard inground, onground and above ground pools for customers.","En tant qu’installateur et réparateur de piscines, j’installe et répare des piscines résidentielles creusées, semi-creusées ou hors terre pour des clients.","CONTRACTING"
"Animal Wellness Centre - Household Pets","Centre de soins pour animaux de compagnie","As an animal wellness centre, we protect the health and well-being of domestic pets using a variety of medical equipment.","En tant que centre de soins pour animaux, nous protégeons la santé et le bien-être d’animaux domestiques à l’aide de divers équipements médicaux.","PROFESSIONAL_SERVICES"
"Water Softening/Treatment Services (Sales, Service & Installation)","Adoucissement ou traitement de l’eau (vente, entretien, installation)","As a water softening/treatment sales contractor, I install water filtration systems that soften or treat water. I may also add water conditioners to handle a wide variety of water conditioners for water from lakes and wells.","En tant qu’entrepreneur en adoucissement ou traitement de l’eau, j’installe des systèmes de filtration qui adoucissent ou traitent l’eau. Je peux aussi installer des conditionneurs d’eau qui traitent divers défauts des eaux tirées de lacs ou de puits.","CONTRACTING"
"Solar Energy Contractor (Sales/Service/Installation)","Entrepreneur en énergie solaire (vente, service, installation)","As a solar energy contractor, I design, build and repair solar energy systems. I install solar panels to harness the power of the sun to provide enough electricity to power and heat a home. I do not install any solar panels on roofs.","En tant qu’entrepreneur en énergie solaire, je conçois, je construis et je répare des systèmes d’énergie solaire. J’installe des panneaux solaires pour capter l’énergie du soleil et fournir l’électricité nécessaire aux besoins énergétiques d’une maison. Je n’installe pas de panneaux solaires sur des toits.","CONTRACTING"
"Computer Manufacturing (including Refurbishing)","Ordinateurs – Fabrication (remise à neuf incluse)","As a computer manufacturer, I make and refurbish personal computers (PCs) and laptops.","En tant que fabricant d’ordinateurs, je fabrique et je remets à neuf des ordinateurs de bureau et des ordinateurs portatifs.",NULL
"Shoes/Boots - Retail","Chaussures, bottes – Commerce de détail","As a shoes/boots retailer, I sell shoes, boots, sandals, sneakers, dresses, slippers, heels, wedges and flip flops online and in store.","En tant que détaillant de chaussures et de bottes, je vends en magasin et en ligne des chaussures, des bottes, des sandales, des chaussures de sport, des chaussures habillées, des pantoufles, des chaussures à talon, des chaussures à talon compensé et des sandales de plage.","RETAIL"
"Window & Eavestrough Cleaning - Low Rise Only (3 stories or less)","Nettoyage de fenêtres et de gouttières (immeubles de faible hauteur – 3 étages ou moins)","As a window and eavestrough cleaning contractor, I clean exterior windows for asthetic appeal and clear out clogged gutters to prevent serious damage to your roof, foundation and eavestroughs themselves for buildings that are three stories or less.","En tant qu’entrepreneur en nettoyage de fenêtres et de gouttières, je lave la face extérieure des fenêtres pour des raisons esthétiques et je dégage les gouttières afin de prévenir des dommages importants au toit, aux fondations et aux gouttières elles-mêmes. Mon travail porte sur des bâtiments de trois étages ou moins.",NULL
"Dermatologists","Dermatologues","As a dermatologist, I specialize in conditions involving skin, hair and nails.  I identify and treat various conditions like eczema, psoriasis, skin cancer and cosmetic concerns.","À titre de dermatologue, je suis spécialisé dans les affections de la peau, des cheveux et des ongles. J’identifie et traite diverses affections telles que l’eczéma, le psoriasis, le cancer de la peau et des problèmes qui relèvent de l’esthétique.","CONTRACTING"
"Licensed Land Surveyor (no Geopolitical Mapping/Surveying)","Arpenteur-géomètre agréé (sauf cartographie/arpentage géopolitique)","As a licensed land surveyor, I am involved with measuring properties and pieces of land to determine boundaries. I help determine where roads or buildings will be constructed, settle property line disputes and help lead to the creation of maps.","En tant qu’arpenteur-géomètre agréé, je participe à la mesure de terrains ou de parcelles de terrains pour en établir les limites. J’aide à déterminer où les routes et les bâtiments seront construits, à régler les conflits liés aux limites de propriétés et je participe à la création de cartes.",NULL
"Exterior Building Cleaning, including pressure washing (no Sandblasting)","Nettoyage de façades, y compris le lavage à haute pression (sablage par jet exclu)","As an exterior building cleaner, I offer services such as concrete cleaning, graffiti removal, soda blasting and power/pressure washing.","En tant que nettoyeur de façades, j’offre des services de nettoyage du béton, de décapage de graffitis, de sablage au bicarbonate de soude, de lavage à pression, etc.","CONTRACTING"
"Currency Exchange - Retail","Bureau de change – Commerce de détail","As a currency exchange retailer, I convert physical cash into a different currency for customers through in-person transactions only.","À mon bureau de change, un commerce de détail, j’échange de l’argent comptant de différentes devises pour des clients sur place seulement.",NULL
"Insurance Adjuster
Insurance Broker/Agent","Expert en sinistres
Courtier/agent d’assurance","As an insurance adjuster, I work to complete a thorough investigation into a claims case between a policy holder and an insurance company. As an insurance broker/agent, I generate an income from commissions made through selling insurance products to businesses or individuals.","En tant qu’expert en sinistres, j’effectue des enquêtes approfondies concernant des demandes d’indemnisation de titulaires de police d’assurance auprès d’assureurs. En tant que courtier ou agent d’assurance, je touche un revenu provenant de commissions versées pour la vente de produits d’assurance à des entreprises ou à des particuliers.",NULL
"Decorative Natural Stone Product Manufacturer / Natural Stone Product Sales (Wholesale & Retail)","Produits décoratifs en pierre naturelle – Fabrication / Produits décoratifs en pierre naturelle – Vente (en gros et de détail)","As a decorative natural stone product manufacturer/wholesaler and retailer, I make decorative products for kitchens, bathrooms, counter tops, tiles and flooring from granite, marble, limestone, slate and sandstone. I may also sell these natural stone products as a wholesaler or retailer.","En tant que fabricant et grossiste ou détaillant de produits décoratifs en pierre naturelle, je créer des produits décoratifs pour la cuisine ou la salle de bain, comme des comptoirs, des carreaux et des revêtements de sol en granite, en marbre, en calcaire, en ardoise ou en grès. Je peux aussi vendre ces produits en pierre naturelle à titre de grossiste ou de détaillant.","RETAIL"
"Commercial Refrigeration Equipment Services (Sales, Service, Installation)","Réfrigération commerciale – Services (vente, entretien, installation)","As a commercial refrigeration equipment service provider, I sell, install and service commercial refrigeration equipment such as fridges, coolers, and freezers used in supermarkets, convenience stores, restaurants and commercial kitchens.","En tant que fournisseur de services de réfrigération commerciale, je vends, j’installe et j’entretiens de l’équipement de réfrigération commerciale comme des réfrigérateurs, des meubles réfrigérés et des congélateurs utilisés dans les supermarchés, les dépanneurs, les restaurants et les cuisines commerciales.","CONTRACTING"
"Household Moving / Packing Operations","Déménagement de particuliers","As a moving and packing operation we help individuals move their household items safely from one location to another.","En tant qu’entreprise de déménagement et d’emballage, nous aidons les particuliers à déplacer leurs articles ménagers d’un endroit à un autre.","CONTRACTING"
"Building Materials/Home Improvement Centres (including Lumber) - Retail","Matériaux de construction, centres de rénovation (bois de construction inclus) – Commerce de détail","As a building material/home improvement store, we sell household hardware for home improvement including things like building materials, hand tools, power tools, plumbing and electrical supplies, housewares, cleaning products, paint and more.","En tant que magasin de matériaux de construction et de rénovation résidentielle, nous vendons des articles de quincaillerie, notamment des matériaux de construction, des outils à main, des outils électriques, des fournitures de plomberie et d’électricité, des articles ménagers, des produits de nettoyage, de la peinture, etc.","RETAIL"
"Human Resource Consultants","Conseillers en ressources humaines","As a human resources consultant, I assist clients with integrating effective processes, programs, and practices into their daily operations.","En tant que conseiller en ressources humaines, j’aide mes clients à intégrer de manière stratégique des processus, des programmes et des pratiques efficaces de RH dans leurs activités courantes.","PROFESSIONAL_SERVICES"
"Court Reporters & Transcription Services","Services de sténographes judiciaires et de transcription","As a court reporter or transcription service provider, I create word-for-word transcripts of legal proceedings, such as court hearings.  Additionally, I may utilize my skills in a television broadcasting capacity to provide closed captioning.","À titre de sténographe judiciaire ou de fournisseur de services de transcription, j’effectue la transcription mot à mot de procédures judiciaires telles que des procès. De plus, je peux utiliser mes compétences dans un contexte télévisuel à des fins de sous-titrage codé.","PROFESSIONAL_SERVICES"
"Tree Removal, Stump Removal","Enlèvement d’arbres et de souches","As a tree removal/trimming/pruning/stump removal contractor, I remove trees, tree stumps & unnecessary tree branches, and trim trees, hedges & shrubs.","En tant qu’entrepreneur en enlèvement, taille et élagage d’arbres, et en enlèvement de souches, j’enlève des arbres, des souches et des branches d’arbres inutiles, et je taille des arbres, des haies et des arbustes.","CONTRACTING"
"Certified Gas Fitter (Non-Medical)","Monteur certifié d’installations au gaz (non médicales)","As a certified gas fitter, I install, inspect, repair and maintain gas lines and gas equipment such as meters, regulators, heating units and appliances, which are for non-medical use.","En tant que monteur certifié d’installations au gaz, j’installe, j’inspecte, je répare et j’entretiens des installations au gaz, y compris des conduites, des compteurs, des régulateurs et des appareils de chauffage, utilisées à des fins non médicales.","CONTRACTING"
"Paving Contractor (Driveways/Parking Lots) - Commercial","Entrepreneur en pavage (entrées, stationnements) – Secteur commercial","As a commercial paving contractor, I construct or repair paved surfaces such as laneways and parking areas for commercial customers.","En tant qu’entrepreneur(se) en pavage, je crée ou je répare des surfaces pavées comme des entrées et des stationnements pour des clients du secteur commercial.","CONTRACTING"
"Opticians","Opticiens","As an optician, I am trained to design, verify and fit eyeglass lenses and frames, contact lenses and other devices to correct eyesight. I do not test vision or write prescriptions for visual correction.","En tant qu’opticien, je suis formé pour concevoir, vérifier et ajuster des lentilles et des montures de lunettes, des verres de contact et d’autres dispositifs de correction de la vue. Je ne fais pas d’examens de la vue et je ne rédige pas d’ordonnances.",NULL
"Housewares and Cutlery Manufacturing","Articles ménagers et coutellerie – Fabrication","As a housewares and cutlery manufacturer, we manufacture clay / ceramic / stainless steel items such as dishware, forks, spoons, cups and mugs from our home or from a small commercial location.","En tant que fabricant d’articles ménagers et de coutellerie, je fabrique des articles en argile, en céramique et en acier inoxydable tels que des plats, des fourchettes, des cuillères, des tasses et des gobelets à partir de mon domicile ou d’un petit local commercial.","CONTRACTING"
